"call_number","creator","date","description","headerImage","identifier","subject","title"
"","Aonia Nimr","2002-00-00T00:00:00Z","In this wonderful story, the Queen complains that her son must hurry and find a bride from amongst the beautiful women of the Palace. But the prince is bored by empty beauty. The Prince insists on marrying a woman who is smart, and establishes a story-telling contest (where the winner must tell a story which begins and ends with the impossible) to find the cleverest woman in the kingdom. The woman he falls for is not beautiful in traditional standards and wears simple clothing, but enchants the prince with her creativity and wit as she weaves a story with endless surprises. The story teller finds a city atop a palm tree, steps into a market inside a watermelon grown on a magical field, and, after an endless series of surprises, is ultimately shot from a canon for pulling the tail off a donkey (a false conviction by a zany judge), landing in the castle in front of the Prince. An exciting, unique story which grabs readers attention. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=nimstor_00310005&summary=true&route=text"" rel=""nofollow"">read a copy of 'A Story That Begins And Ends With The Imagination'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","nimstor","","A Story That Begins And Ends With The Imagination"
"","Dunboyne, Marion Brander Clifford-Butler, lady","","","","sunbeamsinfluenc00dunb","English fiction","A sunbeam's influence; or, Eight years after"
"srlf_ucla:LAGE-2255079","M. B. L,New England Sabbath School Union. Committee of Publication","1840-00-00T00:00:00Z","Brown diaper grain cloth over boards, blocked in blind; upper board blocked in gold","","teachersgift00mblniala","Conduct of life","A teacher's gift"
"srlf_ucla:LAGE-3285683","","","NUC pre-1956","","teachersoffering00bostiala","Children's stories","A teacher's offering"
"srlf_ucla:LAGE-1712804","Janeway, James, 1636?-1674,Mather, Cotton, 1663-1728","1771-00-00T00:00:00Z","Rosenbach, A.S.W. Children's books","","tokenforchildren00janeiala","Children,Children -- Death Religious aspects Christianity,Christian biography,Christian life","A token for children : being an exact account of the conversion, holy and exemplary lives and joyful deaths of several young children"
"srlf_ucla:LAGE-1822336","Janeway, James, 1636?-1674,Mather, Cotton, 1663-1728","1795-00-00T00:00:00Z","Evans","","tokenforchi00janeiala","Children,Children -- Death Religious aspects Christianity,Christian biography,Christian life","A token for children : being an exact account of the conversion, holy and exemplary lives and joyful deaths, of several young children"
"srlf_ucla:LAGE-1822337","Janeway, James, 1636?-1674","1781-00-00T00:00:00Z","","","tokenforchild00janeiala","","A token for children : being an exact account of the conversion, holy and exemplary lives, and joyful deaths of several young children"
"","","1851-00-00T00:00:00Z","","","UF00001914","lcsh,Fairy tales,Children's stories,Embossed cloth bindings (Binding)","A treasury of pleasure books for young and old"
"srlf_ucla:LAGE-1056824","Cundall, Joseph, 1818-1895,Absolon, John, 1815-1895,Weir, Harrison, 1824-1906","1850-00-00T00:00:00Z","NUC pre-1956","","treasuryofpleasu00cundiala","Children's stories","A treasury of pleasure books for young children"
"srlf_ucla:LAGE-3313151","Cundall, Joseph, 1818-1895,Absolon, John, 1815-1895,Meadows, Joseph Kenny, 1790-1874,Wehnert, Edward Henry, 1813-1868,Weir, Harrison, 1824-1906","1856-00-00T00:00:00Z","Half red calf and plum cloth over boards. Ex libris C.K. Ogden. Inscription in pencil dated 1870, on upper free endpaper","","treasurypleasure00cundiala","Nursery rhymes,Children's stories","A Treasury of pleasure books for young people"
"","Kvitko, Leib","2001-00-00T00:00:00Z","","","9780657134976","","A tsig mi zibn tsigelekh"
"","Clement Moore","1882-00-00T00:00:00Z","A Christmas poem describing Santa's visit on Christmas Eve. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=moovisi_00150029&summary=true&route=text"" rel=""nofollow"">read a copy of 'A Visit From Santa Claus'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","moovisi","","A Visit From Santa Claus"
"srlf_ucla:LAGE-2998230","S. W., fl. 1801-1820?","1820-00-00T00:00:00Z","Quarter red sheep and marbled paper over boards. Inscription dated 1826 on upper free endpaper","","visittoafarmhous00swfliala","Country life","A visit to a farm house, or, An introduction to various subjects connected with rural economy"
"srlf_ucla:LAGE-2998233","S. W., fl. 1801-1820?","1811-00-00T00:00:00Z","Moon, M. Tabart","","visittofarmhouse00swfliala","Country life","A visit to a farm-house, or, An introduction to various subjects connected with rural economy : embellished with beautiful plates"
"srlf_ucla:LAGE-809516","Cameron, Mrs. (Lucy Lyttelton), 1781-1858","","Osborne Coll.","","visittoinfantssc00cameiala","Christian life,Nursery schools,Sunday schools","A visit to an infants' school"
"srlf_ucla:LAGE-2998205","S. S. S. (Sophia S. Simpson)","1818-00-00T00:00:00Z","Moon, M. John Harris's books for youth","","visittoedinburgh00ssssiala","Edinburgh (Scotland) -- Description and travel Juvenile literature","A visit to Edinburgh : containing a description of the principal curiosities and public buildings in the Scottish metropolis"
"srlf_ucla:LAGE-3654114","Wilson, Lucy Sarah Atkins, 1801-1863","1823-00-00T00:00:00Z","Moon, M. Harris (1992)","","visittogrovecott00wilsiala","Science","A visit to Grove Cottage : for the entertainment and instruction of children"
"srlf_ucla:LAGE-2246524","Lover of children","1820-00-00T00:00:00Z","Moon, M. Harris (1992)","","visittobazaar00loveiala","London (England) -- Social life and customs,London (England) -- Commerce","A visit to the bazaar"
"srlf_ucla:LAGE-3547909","","1819-00-00T00:00:00Z","Half green calf and Spanish marbled paper over boards, well rubbed; sprinkled edges; brown endpapers","","visittomanorhous00breniala","Conduct of life,Christmas","A visit to the manor house, or, The twelve days at Christmas : with hints for improvement"
"","Ellis, Edward Sylvester, 1840-1916","","","","waifofmountains00elli","","A waif of the mountains"
"srlf_ucla:LAGE-3557853","","","Green-blue wrappers; multiplication problem in ink on upper wrapper; lower wrapper repaired with tape; re-sewn","","walkinhayfields00coopiala","Farm life,Hay -- Harvesting","A walk in the hay-fields"
"srlf_ucla:LAGE-2234335","Lloyd, Sarah","","The story of Jane Birman and Emma Elwin -- The story of the magic flute -- The story of Quintin, and the blacksmith -- The true story of an Italian painter -- Leonardo da Vinci -- Benjamin West -- The silver tankard -- The heroine of Siberia","","weekatglenville00lloyiala","Children's stories","A week at Glenville"
"srlf_ucla:LAGE-3571195","","1812-00-00T00:00:00Z","Spec. Coll. copy 1: Quarter red sheep and marbled paper over boards","","weekofinstructio00londiala","Conduct of life,Children's stories","A Week of instruction and amusement, or, Mrs. Harley's birthday present to her daughter : interspersed with short stories, outlines of sacred and prophane [sic] history, geography, &c"
"srlf_ucla:LAGE-533937","Author of Four days in July","","NUC pre-1956","","winteratwoodlawn00authiala","Children -- Conduct of life","A winter at Wood Lawn, or, The armour of light illustrated"
"","","","","","hawwond","","A Wonder Book for Girls and Boys"
"","Darton, F. J. Harvey (Frederick Joseph Harvey), 1878-1936,Walker, Arthur G","","William and the werewolf -- King Robert of Sicily -- Sir Cleges and the cherries -- Sir Gawain and the Green Knight -- The fair unknown -- King Horn -- The seven wise masters -- Sir Degoré and the broken sword -- Guy of Warwick -- The ash and the hazel -- Floris and Blanchefleur -- Amys and Amylion -- Havelok the Dane","","wonderbookofoldr00dart2","Romances, English","A wonder book of old romance"
"srlf_ucla:LAGE-1728174","Hawthorne, Nathaniel, 1804-1864,Billings, Hammatt, 1818-1874","","The Gorgon's head -- The Golden touch -- The paradise The three golden apples -- The miraculous pitcher -- The chimæra","","wonderbookgirlsb00hawtiala","Mythology, Classical","A wonder-book for girls and boys"
"","Harris, Joel Chandler, 1848-1908","1898-00-00T00:00:00Z","","","aaroninwildwoods00harr","","Aaron in the wildwoods"
"srlf_ucla:lage-1049761","Crane, Thomas, b. 1843?,Houghton, Ellen Elizabeth, 1853-1922","","Osborne Coll.","","abroadcranethoma00craniala","Poetry of places,France -- Description and travel Juvenile literature","Abroad"
"","Gale, Agnes Spofford Cook,Homer","1903-00-00T00:00:00Z","","","achilleshectoril00gale","","Achilles & Hector : Iliad stories retold for boys and girls"
"srlf_ucla:LAGE-4797369","","1828-00-00T00:00:00Z","Publisher's quarter red roan and buff printed paper over boards. Inscribed in pencil: Nancy Banks. Purchase, Hobbyhorse Books, 1998","","adelaidemurrayor00saleiala","Christian life,Conduct of life","Adelaide Murray, or, The orphan's refuge"
"srlf_ucla:LAGE-473831","","1827-00-00T00:00:00Z","Publisher's tan printed wrappers","","adelaideorrainye00bostiala","Christian life,Conduct of life","Adelaide, or, The rainy evening : a moral tale"
"","Ada. Alma Flor","","need summary","","adadvdv","","Adivina Adivinador"
"","Ellis, Edward Sylvester, 1840-1916","","Johnson Collection","","adriftinwildsora00elli","","Adrift in the wilds; or, The adventures of two shipwrecked boys"
"srlf_ucla:LAGE-475619","","","Publisher's buff printed wrappers; publisher's advertisement on lower wrapper. Rebacked in patterned cloth","","adventuersoflitt00philiala","Dogs,Peddlers and peddling","Adventuers [sic] of the little woman, the pedlar, and her dog"
"srlf_ucla:LAGE-475563","Religious Tract Society (Great Britain)","","Blue cloth over boards blocked in black and gold. Inscription in ink, dated Christmas 1887, on upper free end paper","","adventuresashore00reliiala","Sea stories,Voyages and travels","Adventures ashore and afloat"
"","Kingston, William Henry Giles, 1814-1880","","","","adventuresofdick00king2","West (U.S.) -- Description and travel","Adventures of Dick Onslow in the far West"
"","Kingston, William Henry Giles, 1814-1880","","","","adventuresofdickfw00king","West (U.S.) -- Description and travel","Adventures of Dick Onslow in the far West"
"srlf_ucla:LAGE-1529575","Goldsmith, Oliver, 1730?-1774,Jones, Giles, fl. 1765,Jones, Griffith, 1722-1786,Newbery, John, 1713-1767","","Publisher's printed orange wrappers; publisher's advertisement on lower wrapper","","adventuresgoodyt00goldiala","Brothers and sisters,Conduct of life","Adventures of Goody Two Shoes"
"srlf_ucla:LAGE-1529576","Goldsmith, Oliver, 1730?-1774,Jones, Giles, fl. 1765,Jones, Griffith, 1722-1786,Newbery, John, 1713-1767","","Half olive brown sheep and nonpareil marbled paper over boards; red sprinkled edges. ""Bound by Edward Jordan of Boston""--annotation, in pencil, on fly-leaf. Ex libris Elvah Karshner. Inscribed ""M. Isabella Stone"" on fly-leaf. Title on spine: Days of my childhood. With: The good child's own book on moral and instructive stories / by Uncle Philip. New York : Cozans, 1856. Imperfect copy = cover and imprint information wanting. Illustrations are hand-colored","","adventuresofgood00goldiala","Brothers and sisters,Conduct of life","Adventures of Goody Two Shoes"
"srlf_ucla:LAGE-3212995","Twain, Mark, 1835-1910","1885-00-00T00:00:00Z","Spec. Coll. copy 1: Green cloth over boards, blocked in gold and black, in case. Ex libris Olive Percival. Gift of Jo Swerling","","adventureshuckle00twaiiala","Adventure and adventurers,Mississippi River -- Juvenile literature,Missouri -- Juvenile literature","Adventures of Huckleberry Finn (Tom Sawyer's comrade)..."
"srlf_ucla:LAGE-2282890","Martin, Sarah Catherine, 1768-1826","","Teal printed wrappers. Publishers ad on lower wrapper","","advofmotherhubba00martiala","Dogs,Nursery rhymes","Adventures of Mother Hubbard and her dog"
"srlf_ucla:LAGE-475612","","1822-00-00T00:00:00Z","Osborne Coll.","","adventuresbeauti00yorkiala","Conduct of life","Adventures of the beautiful little maid Cinderilla, or, The history of a glass slipper"
"srlf_ucla:LAGE-338432","","","Osborne Coll.","","adventuresofbeau00yorkiala","Conduct of life","Adventures of the beautiful little maid Cinderilla, or, The history of a glass slipper : to which is added, An historical description of the cat"
"srlf_ucla:LAGE-475613","","","Osborne Coll.","","adventuresofbea00yorkiala","Conduct of life","Adventures of the beautiful little maid Cinderilla, or, The history of a glass slipper : to which is added, An historical description of the cat"
"srlf_ucla:LAGE-1573696","Hanway, Jonas, 1712-1786","1818-00-00T00:00:00Z","","","advicefromfarmer00hanwiala","Conduct of life","Advice from Farmer Trueman to his daughter Mary, upon her going to service; in a series of discourses, designed to promote the welfare and true interest of servants, with reflections of no less importance to masters and mistresses"
"","Kipnis, Itzik","2001-00-00T00:00:00Z","","","9780657134563","","aeshi, aeshi :"
"","Park, Marmaduke.","1852-00-00T00:00:00Z","","","UF00002018","Animals,Pictorial cloth bindings (Binding),Fables,Juvenile poetry,Publishers' catalogues","Aesop in rhyme, or, Old friends in a new dress"
"srlf_ucla:LAGE-3284263","Taylor, Jefferys, 1792-1853,Aesop","1828-00-00T00:00:00Z","Half rose beige pigskin and olive green marbled paper over boards","","aesopinrhymewith00tayliala","Fables,Animals","Aesop in rhyme, with some originals"
"","","1852-00-00T00:00:00Z","","","UF00003605","Animals,Fables,Juvenile fiction","Aesop's fables"
"srlf_ucla:LAGE-476460","","1818-00-00T00:00:00Z","Wrappers wanting","","aesopsfables00newyiala","Animals","Aesop's fables"
"srlf_ucla:LAGE-339006","Robinson, Charles","1895-00-00T00:00:00Z","Green cloth over boards blocked in gold","","aesopsfables00robiiala","","Aesop's fables"
"srlf_ucla:lage-476428","Aesop","1808-00-00T00:00:00Z","Quarter sheep and green paper over boards; in case","","aesopsfableswith00aesoiala","Fables,Animals","Aesop's fables : with his life, morals, and remarks : fitted for the meanest capacities ; to which are added five other fables in prose and verse"
